Title,Authors,Published Year,Journal,Volume,Issue,Pages,DOI
mHealth Interventions to Reduce Alcohol Use in Young People: A Systematic Review of the Literature,"Hutton, A.; Prichard, I.; Whitehead, D.; Thomas, S.; Rubin, M.; Sloand, E.; Powell, T. W.; Frisch, K.; Newman, P.; Goodwin Veenema, T.",2019,Comprehensive child and adolescent nursing,,,Jan-32,http://dx.doi.org/10.1080/24694193.2019.1616008
mHealth Interventions to Reduce Alcohol Use in Young People: A Systematic Review of the Literature.,"Hutton, Alison; Prichard, Ivanka; Whitehead, Dean; Thomas, Susan; Rubin, Mark; Sloand, Elizabeth; Powell, Terrinieka W; Frisch, Keri; Newman, Peter; Goodwin Veenema, Tener",2020,Comprehensive child and adolescent nursing,43,3,171-202,10.1080/24694193.2019.1616008
Trends in the research design and application of mobile language learning: a review of 2007-2016 publications in selected SSCI journals,"Hwang, Gwo-Jen; Fu, Qing-Ke",2019,Interactive Learning Environments,27,4,567-581,http://dx.doi.org/10.1080/10494820.2018.1486861
An international literature review of 1:1 computing in schools,"Islam, M. S.; Gronlund, A.",2016,Journal of Educational Change,17,2,191-222,
A review of research on bridging the gap between formal and informal learning with technology in primary school contexts,"Jagušt, T. tomislav jagust fer hr; Botički, I.; So, H. ‐J",2018,Journal of Computer Assisted Learning,34,4,417-428,10.1111/jcal.12252
Can video interventions be used to effectively destigmatize mental illness among young people? A systematic review,"Janoušková, M.; Tušková, E.; Weissová, A.; Trančík, P.; Pasz, J.; Evans-Lacko, S.; Winkler, P.",2017,European Psychiatry,41,,1-Sep,10.1016/j.eurpsy.2016.09.008
Practicing emotion-regulation through biofeedback on the decision-making performance in the context of serious games: A systematic review,"Jercic, P.; Sundstedt, V.",2019,Entertainment Computing,29,,75-86,10.1016/j.entcom.2019.01.001
Alcohol marketing and youth alcohol consumption: a systematic review of longitudinal studies published since 2008,"Jernigan, D.; Noel, J.; Landon, J.; Thornton, N.; Lobstein, T.",2017,Addiction,112,,Jul-20,
Gaming- a bane or a boon-a systematic review,"John, Nisha; Sharma, Manoj Kumar; Kapanee, Aruna Rose Mary",2019,Asian journal of psychiatry,42,,Dec-17,10.1016/j.ajp.2019.03.001
Television viewing and its impact on childhood behaviors,"Jolin, E. M.; Weller, R. A.",2011,Current Psychiatry Reports,13,2,122-128,
The impact of health education transmitted via social media or text messaging on adolescent and young adult risky sexual behavior: a systematic review of the literature,"Jones, K.; Eathington, P.; Baldwin, K.; Sipsma, H.",2014,Sex Transm Dis,41,7,413-9,10.1097/olq.0000000000000146
Nonphysical effects of exergames on child and adolescent well-being: a comprehensive systematic review,"Joronen, Katja; Aikasalo, Anna; Suvitie, Anne",2017,Scandinavian Journal Of Caring Sciences,31,3,449-461,10.1111/scs.12393
There Is a Clinical Need to Consider the Physical Activity: Sedentary Pattern in Children with Obesity - Position Paper of the European Childhood Obesity Group,"Julian, V.; Ring-Dimitriou, S.; Wyszyńska, J.; Mazur, A.; Matlosz, P.; Frelut, M. L.; Erhardt, E.; Vlachopapadopoulou, E.; Forslund, A.; Boyland, E.; Weghuber, D.; Thivel, D.",2022,Ann Nutr Metab,78,4,236-241,10.1159/000524570
Systematic Review of Research Trends in Robotics Education for Young Children,"Jung, S. E.; Won, E. S.",2018,Sustainability,10,4,24,10.3390/su10040905
Technology-based counseling in the management of weight and lifestyles of obese or overweight children and adolescents: A descriptive systematic literature review,"Kaakinen, P.; Kyngas, H.; Kaariainen, M.",2018,Informatics for health & social care,43,2,126-141,http://dx.doi.org/10.1080/17538157.2017.1353997
Treatment of behavioral sleep problems in children and adolescents - literature review,"Kaczor, M.; Skalski, M.",2016,Psychiatria Polska,50,3,571-584,
Is video-based instruction effective in the rehabilitation of children with autism spectrum disorders?,"Kagohara, D. M.",2010,Dev Neurorehabil,13,2,129-40,10.3109/17518420903329281
Using iPods® and iPads® in teaching programs for individuals with developmental disabilities: A systematic review,"Kagohara, Debora M.; van der Meer, Larah; Ramdoss, Sathiyaprakash; O'Reilly, Mark F.; Lancioni, Giulio E.; Davis, Tonya N.; Rispoli, Mandy; Lang, Russell; Marschik, Peter B.; Sutherland, Dean; Green, Vanessa A.; Sigafoos, Jeff",2013,Research in Developmental Disabilities,34,1,147-156,10.1016/j.ridd.2012.07.027
Extracurricular Sports Participation and Sedentary Behavior in Association with Dietary Habits and Obesity Risk in Children and Adolescents and the Role of Family Structure: a Literature Review.,"Kanellopoulou, Aikaterini; Diamantis, Dimitrios V; Notara, Venetia; Panagiotakos, Demosthenes B",2021,Current nutrition reports,10,1,1-Nov,10.1007/s13668-021-00352-6
A Comparison of Family Interventions to Address Adolescent Risky Behaviors: A Literature Review,"Kao, T. S.; Gibbs, M. B.; Clemen-Stone, S.; Duffy, S.",2013,Western journal of nursing research,35,5,611-637,
Withdrawal symptoms in internet gaming disorder: A systematic review,"Kaptsis, D.; King, D. L.; Delfabbro, P. H.; Gradisar, M.",2016,Clinical Psychology Review,43,,58-66,
The utilization of current technology in raising children awareness of the needs of nutrition: A literature review,"Kartika, L.; Penna, G. D. A.; Sagitadewi, A. G.; Alandia, A.",2019,Annals of Tropical Medicine and Public Health,22,11,S343,http://dx.doi.org/10.36295/ASRO.2019.221135
Screen Time in Under-five Children,"Kaur, N.; Gupta, M.; Malhi, P.; Grover, S.",2019,Indian pediatrics,56,9,773-788,http://dx.doi.org/10.1007/s13312-019-1638-8
"Social media platforms and sleep problems: a systematic literature review, synthesis and framework for future research","Kaur, P.; Dhir, A.; Alkhalifa, A. K.; Tandon, A.",2021,INTERNET RESEARCH,31,4,1121-1152,10.1108/INTR-04-2020-0187
Screen Time Activities and Aggressive Behaviors Among Children and Adolescents: A Systematic Review.,"Keikha, Mojtaba; Qorbani, Mostafa; Kazemi Tabaee, Maryam Sadat; Djalalinia, Shirin; Kelishadi, Roya",2020,International journal of preventive medicine,11,,59,10.4103/ijpvm.IJPVM_71_20
"A systematic review: the influence of social media on depression, anxiety and psychological distress in adolescents","Keles, B.; McCrae, N.; Grealish, A.",2020,International Journal of Adolescence and Youth,25,1,79-93,10.1080/02673843.2019.1590851
"A systematic review: The influence of social media on depression, anxiety and psychological distress in adolescents","Keles, Betul; McCrae, Niall; Grealish, Annmarie",2019,International Journal of Adolescence and Youth,,,,10.1080/02673843.2019.1590851
A Systematic Review on Effect of Electronic Media among Children and Adolescents on Substance Abuse,"Khatibu, Mahalaqua Nazli; Sinha, Anju; Gaidhane, Abhay M.; Simkhada, Padam; Behere, Prakash B.; Saxena, Deepak; Unnikrishnanu, Bhaskaran; Khatib, Afroz; Ahmed, Mahjabeen; Syed, Zahiruddin Quazi",2018,Indian Journal of Community Medicine,43,,S66-S72,10.4103/ijcm.IJCM_116_18
A systematic review of strategies and computer-based intervention (CBI) for reading comprehension of children with autism,"Khowaja, K.; Salim, S. S.",2013,Research in Autism Spectrum Disorders,7,9,1111-1121,
Systematic Review of Behavioral Interventions Using Digital Technology to Reduce Problem Behavior in the Classroom,"Kirkpatrick, M; Rivera, G; Akers, J",,JOURNAL OF BEHAVIORAL EDUCATION,,,,10.1007/s10864-020-09406-1
A Review of Technology-Based Interventions to Teach Academic Skills to Students with Autism Spectrum Disorder,"Knight, V.; McKissick, B. R.; Saunders, A.",2013,Journal of Autism and Developmental Disorders,43,11,2628-2648,
"Sedentary behaviour and bone health in children, adolescents and young adults: a systematic review","Koedijk, J. B.; van Rijswijk, J.; Oranje, W. A.; van den Bergh, J. P.; Bours, S. P.; Savelberg, H. H.; Schaper, N. C.",2017,Osteoporosis International,28,9,2507-2519,
Is Sitting Time a Strong Predictor of Weight Gain?,"Kolle, E.; Ekelund, U.",2013,Current Obesity Reports,2,1,77-85,
The association of sedentary lifestyle with childhood asthma. The role of nurse as educator,"Konstantaki, E.; Priftis, K. N.; Antonogeorgos, G.; Papoutsakis, C.; Drakouli, M.; Matziou, V.",2014,Allergologia et Immunopathologia,42,6,609-615,
"Alcohol portrayals in movies, music videos and soap operas and alcohol use of young people: current status and future challenges","Koordeman, Renske; Anschutz, Doeschka J.; Engels, Rutger C. M. E.",2012,"Alcohol And Alcoholism (Oxford, Oxfordshire)",47,5,612-623,10.1093/alcalc/ags073
"Lifestyle behavior interventions delivered using technology in childhood, adolescent, and young adult cancer survivors: A systematic review","Kopp, L. M.; Gastelum, Z.; Guerrero, C. H.; Howe, C. L.; Hingorani, P.; Hingle, M.",2017,Pediatric Blood and Cancer,64,1,13-17,
The effectiveness and promising strategies of obesity prevention and treatment programmes among adolescents from disadvantaged backgrounds: a systematic review,"Kornet-van der Aa, D. A.; Altenburg, T. M.; van Randeraad-van der Zee, C. H.; Chinapaw, M. J. M.",2017,Obesity Reviews,18,5,581-593,
The relationship between television exposure and children's cognition and behaviour: A systematic review,"Kostyrka-Allchorne, K.; Cooper, N. R.; Simpson, A.",2017,Developmental Review,44,,19-58,
Sleep and weight-related factors in youth: A systematic review of recent studies,"Krietsch, Kendra N.; Chardon, Marie L.; Beebe, Dean W.; Janicke, David M.",2019,Sleep medicine reviews,46,,87-96,10.1016/j.smrv.2019.04.010
Social media's influence on adolescents' food choices: A mixed studies systematic literature review,"Kucharczuk, A. J.; Oliver, T. L.; Dowdell, E. B.",2022,Appetite,168,,105765,10.1016/j.appet.2021.105765
Social media's influence on adolescents' food choices: A mixed studies systematic literature review.,"Kucharczuk, Adam J; Oliver, Tracy L; Dowdell, Elizabeth B",2021,Appetite,168,,105765,10.1016/j.appet.2021.105765
Obesity in preschoolers: Behavioral correlates and directions for treatment,"Kuhl, E. S.; Clifford, L. M.; Stark, L. J.",2012,Obesity,20,1,Mar-29,
"Review of Childhood Obesity: From Epidemiology, Etiology, and Comorbidities to Clinical Assessment and Treatment","Kumar, Seema; Kelly, Aaron S.",2017,Mayo Clinic Proceedings,92,2,251-265,10.1016/j.mayocp.2016.09.017
Internet Gaming Addiction: A Systematic Review of Empirical Research,"Kuss, D. J.; Griffiths, M. D.",2012,International Journal of Mental Health and Addiction,10,2,278-296,
School-related sedentary behaviours and indicators of health and well-being among children and youth: a systematic review,"Kuzik, N.; da Costa, B. G. G.; Hwang, Y.; Verswijveren, S. J. J. M.; Rollo, S.; Tremblay, M. S.; Bélanger, S.; Carson, V.; Davis, M.; Hornby, S.; Huang, W. Y.; Law, B.; Salmon, J.; Tomasone, J. R.; Wachira, L. J.; Wijndaele, K.; Saunders, T. J.",2022,Int. J. Behav. Nutr. Phys. Act.,19,1,,10.1186/s12966-022-01258-4
Skin in the game: Video-game-related cutaneous pathologies in adolescents.,"Kyriakou, Georgia; Glentis, Apostolos",2021,International journal of pediatrics & adolescent medicine,8,2,68-75,10.1016/j.ijpam.2019.09.002
The Impact of E-Book Reading on Young Children's Emergent Literacy Skills: An Analytical Review.,"López-Escribano, Carmen; Valverde-Montesino, Susana; García-Ortega, Verónica",2021,International journal of environmental research and public health,18,12,,10.3390/ijerph18126510
Improving cognition in school children and adolescents through exergames. A systematic review and practical guide.,"López-Serrano, Sebastián; Ruiz-Ariza, Alberto; De La Torre-Cruz, Manuel; Martínez-López, Emilio J.",2021,South African Journal of Education,41,1,Jan-19,
Comprehensive Review on Academic Achievement Levels through M-Learning,"Lakhan, Anjay; Kumar, Laxman",2019,i-Manager's Journal on Educational Psychology,13,2,49-58,http://dx.doi.org/10.26634/jpsy.13.2.15535
"Internet gaming addiction, problematic use of the Internet, and sleep problems: A systematic review","Lam, L. T.",2014,Current Psychiatry Reports,16,4,,
Virtual reality distraction for acute pain in children,"Lambert, Veronica; Matthews, Anne; Boylan, Patrick; Boran, Lorraine; Hicks, Paula; Kirubakaran, Richard; Devane, Declan ",2020,Cochrane Database of Systematic Reviews,2020,10,CD010686,http://dx.doi.org/10.1002/14651858.CD010686.pub2
Treating Pediatric Overweight Through Reductions in Sedentary Behavior: A Review of the Literature,"Lambiase, M.",2009,Journal of Pediatric Health Care,23,1,29-36,
Exergaming as a strategic tool in the fight against childhood obesity: a systematic review,"Lamboglia, Carminda Maria Goersch Fontenele; da Silva, Vanina Tereza Barbosa Lopes; de Vasconcelos Filho, José Eurico; Pinheiro, Mônica Helena Neves Pereira; Munguba, Marilene Calderaro da Silva; Silva Júnior, Francisco Valmar Isaias; de Paula, Fernando Alberto Ramirez; da Silva, Carlos Antônio Bruno",2013,Journal Of Obesity,2013,,438364-438364,10.1155/2013/438364
Games for enhancing basic reading and maths skills: A systematic review of educational game design in supporting learning by people with learning disabilities,"Lamsa, J.; Hamalainen, R.; Aro, M.; Koskimaa, R.; Ayramo, S. M.",2018,British Journal of Educational Technology,49,4,596-607,10.1111/bjet.12639
A Systematic Research Synthesis on Cyberbullying Interventions in the United States,"Lancaster, M.",2018,"Cyberpsychology, behavior and social networking",21,10,593-602,http://dx.doi.org/10.1089/cyber.2018.0307
Mobile apps for weight management in children and adolescents; an updated systematic review,"Langarizadeh, Mostafa; Sadeghi, Malihe; As'habi, Atefeh; Rahmati, Pakzad; Sheikhtaheri, Abbas",2021,Patient Education and Counseling,104,9,2181-2188,10.1016/j.pec.2021.01.035
Systematic mapping review of the factors influencing physical activity and sedentary behaviour in ethnic minority groups in Europe: a DEDIPAC study,"Langoien, L. J.; Terragni, L.; Rugseth, G.; Nicolaou, M.; Holdsworth, M.; Stronks, K.; Lien, N.; Roos, G.",2017,International Journal of Behavioral Nutrition and Physical Activity,14,,,
New technologies in early childhood literacy research: A review of research,"Lankshear, Colin; Knobel, Michele",2003,Journal of Early Childhood Literacy,3,1,59-82,10.1177/14687984030031003
A systematic review of information and communication technology-based interventions for promoting physical activity behavior change in children and adolescents,"Lau, P. W.; Lau, E. Y.; Wong, P.; Ransdell, L.",2011,Journal of medical Internet research,13,3,e48,
The impact of interventions to prevent obesity or improve obesity related behaviours in children (0-5 years) from socioeconomically disadvantaged and/or indigenous families: a systematic review,"Laws, R.; Campbell, K. J.; van der Pligt, P.; Russell, G.; Ball, K.; Lynch, J.; Crawford, D.; Taylor, R.; Askew, D.; Denney-Wilson, E.",2014,BMC public health,14,,779,
Malnutrition and excess weight in children and adolescents: A review of brazilian studies,"Leal, V. S.; de Lira, P. I. C.; de Menezes, R. C. E.; Oliveira, J. S.; Costa, E. C.; de Andrade, S. L. L. S.",2012,Revista Paulista de Pediatria,30,3,415-422,
Systematic review of sedentary behaviour and health indicators in the early years (aged 0-4 years),"LeBlanc, A. G.; Spence, J. C.; Carson, V.; Gorber, S. C.; Dillman, C.; Janssen, I.; Kho, M. E.; Stearns, J. A.; Timmons, B. W.; Tremblay, M. S.",2012,"Applied Physiology, Nutrition and Metabolism",37,4,753-772,
Active video games and health indicators in children and youth: a systematic review,"LeBlanc, Allana G.; Chaput, Jean-Philippe; McFarlane, Allison; Colley, Rachel C.; Thivel, David; Biddle, Stuart J. H.; Maddison, Ralph; Leatherdale, Scott T.; Tremblay, Mark S.",2013,Plos One,8,6,e65351-e65351,10.1371/journal.pone.0065351
Efficacy and Effectiveness of Mobile Health Technologies for Facilitating Physical Activity in Adolescents: Scoping Review,"Lee, A. M.; Chavez, S.; Bian, J.; Thompson, L. A.; Gurka, M. J.; Williamson, V. G.; Modave, F.",2019,JMIR Mhealth Uhealth,7,2,e11847,10.2196/11847
Effects of Pokemon GO on Physical Activity and Psychological and Social Outcomes: A Systematic Review,"Lee, JE; Zeng, N; Oh, Y; Lee, DH; Gao, Z",2021,JOURNAL OF CLINICAL MEDICINE,10,9,,10.3390/jcm10091860
Correlates of adolescent cyberbullying in South Korea in multiple contexts: A review of the literature and implications for research and school practice,"Lee, Jeoung Min; Hong, Jun Sung; Yoon, Jina; Peguero, Anthony A.; Seok, Hee Joung",2018,Deviant Behavior,39,3,293-308,10.1080/01639625.2016.1269568
Computer science education and K-12 students' computational thinking: A systematic review,"Lee, S. J.; Francom, G. M.; Nuatomue, J.",2022,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH,114,,,10.1016/j.ijer.2022.102008
"The clustering of diet, physical activity and sedentary behavior in children and adolescents: a review","Leech, Rebecca M.; McNaughton, Sarah A.; Timperio, Anna",2014,The International Journal Of Behavioral Nutrition And Physical Activity,11,,4-Apr,10.1186/1479-5868-11-4
Evidence on Digital Mental Health Interventions for Adolescents and Young People: Systematic Overview.,"Lehtimaki, Susanna; Martic, Jana; Wahl, Brian; Foster, Katherine T; Schwalbe, Nina",2021,JMIR mental health,8,4,e25847,10.2196/25847
Mobile Phone Interventions for Adolescent Sexual and Reproductive Health: A Systematic Review,"L'Engle, Kelly L.; Mangone, Emily R.; Parcesepe, Angela M.; Agarwal, Smisha; Ippoliti, Nicole B.",2016,Pediatrics,138,3,,10.1542/peds.2016-0884
Intervening to reduce sedentary behaviors and childhood obesity among school-age youth: A systematic review of randomized trials,"Leung, M. M.; Agaronov, A.; Grytsenko, K.; Yeh, M. C.",2012,Journal of Obesity,2012 (no pagination),685430,,
"Social media-assisted interventions on human papillomavirus and vaccination-related knowledge, intention and behavior: a scoping review","Li, D.; Fu, L.; Yang, Y.; An, R.",2022,Health Educ Res,37,2,104-132,10.1093/her/cyac007
Is Sedentary Behavior Associated With Executive Function in Children and Adolescents? A Systematic Review,"Li, S.; Guo, J.; Zheng, K.; Shi, M.; Huang, T.",2022,Front Public Health,10,,832845,10.3389/fpubh.2022.832845
Effects of Active Videogames on Physical Activity and Related Outcomes Among Healthy Children: A Systematic Review,"Liang, Y.; Lau, P. W. C.",2014,Games for Health Journal,3,3,122-+,
Correlates of physical activity and sedentary behaviour in the Thai population: a systematic review,"Liangruenrom, Nucharapon; Craike, Melinda; Biddle, Stuart J. H.; Suttikasem, Kanyapat; Pedisic, Zeljko",2019,BMC Public Health,19,1,N.PAG-N.PAG,10.1186/s12889-019-6708-2
Latent Class Analysis of Lifestyle Risk Factors and Association with Overweight and/or Obesity in Children and Adolescents: Systematic Review.,"Liberali, Rafaela; Del Castanhel, Flavia; Kupek, Emil; Assis, Maria Alice Altenburg de",2021,Childhood obesity (Print),17,1,Feb-15,10.1089/chi.2020.0115
"Benefits of the use of ICT in school activities by students with motor, speech, visual, and hearing impairment: a literature review","Lidstrom, H.; Hemmingsson, H.",2014,Scand J Occup Ther,21,4,251-66,10.3109/11038128.2014.880940
"Physical activity, sedentary behaviors, physical fitness, and their relation to health outcomes in youth with type 1 and type 2 diabetes: A review of the epidemiologic literature","Liese, A. D.; Ma, X.; Maahs, D. M.; Trilk, J. L.",2013,Journal of Sport and Health Science,2,1,21-38,
Psychological and Emotional Effects of Digital Technology on Digitods (14-18 Years): A Systematic Review,"Limone, P.; Toto, G. A.",2022,Front Psychol,13,,938965,10.3389/fpsyg.2022.938965
Prevention of overweight in the school arena (Structured abstract),"Lissau, I.",2007,Acta Paediatrica,96,Supplement 454,Dec-18,
Effect of Active Video Games on Healthy Children's Fundamental Motor Skills and Physical Fitness: A Systematic Review.,"Liu, Wenxi; Zeng, Nan; McDonough, Daniel J; Gao, Zan",2020,International journal of environmental research and public health,17,21,,10.3390/ijerph17218264
Risky experiences for children online: charting European research on children and the Internet,"Livingstone, S.; Haddon, L.",2008,Children & Society,22,4,314-323,
The commercial use of digital media to market alcohol products: a narrative review,"Lobstein, Tim; Landon, Jane; Thornton, Nicole; Jernigan, David",2017,Addiction,112,,21-27,
A Systematic Review of Interventions to Enhance Healthy Lifestyle Behaviors in Adolescents Delivered via Mobile Phone Text Messaging,"Loescher, L. J.; Rains, S. A.; Kramer, S. S.; Akers, C.; Moussa, R.",2016,Am J Health Promot,,,,10.1177/0890117116675785
A Systematic Review of Interventions to Enhance Healthy Lifestyle Behaviors in Adolescents Delivered via Mobile Phone Text Messaging,"Loescher, L. J.; Rains, S. A.; Kramer, S. S.; Akers, C.; Moussa, R.",2018,Am J Health Promot,32,4,865-879,10.1177/0890117116675785
Computer-based auditory training (CBAT): benefits for children with language- and reading-related learning difficulties,"Loo, Jenny Hooi Yin; Bamiou, Doris-Eva; Campbell, Nicci; Luxon, Linda M.",2010,Developmental Medicine And Child Neurology,52,8,708-717,10.1111/j.1469-8749.2010.03654.x
The effects of sedentary behavior on memory and markers of memory function: a systematic review,"Loprinzi, Paul",2019,Physician & Sportsmedicine,47,4,387-394,10.1080/00913847.2019.1607603
Distinct trajectories of physical activity and related factors during the life course in the general population: a systematic review,"Lounassalo, Irinja; Salin, Kasper; Kankaanpää, Anna; Hirvensalo, Mirja; Palomäki, Sanna; Tolvanen, Asko; Yang, Xiaolin; Tammelin, Tuija H.",2019,BMC Public Health,19,1,N.PAG-N.PAG,10.1186/s12889-019-6513-y
Use and Effectiveness of Social-Media-Delivered Weight Loss Interventions among Teenagers and Young Adults: A Systematic Review,"Lozano-Chacon, Blanca; Suarez-Lledo, Victor; Alvarez-Galvez, Javier",2021,International Journal of Environmental Research and Public Health,18,16,8493,http://dx.doi.org/10.3390/ijerph18168493
A systematic review of health videogames on childhood obesity prevention and intervention (Provisional abstract),"Lu, A. S.; Kharrazi, H.; Gharghabi, F.; Thompson, D.",2013,Games for Health Journal,2,3,131-141,
The effects of text messaging interventions to improve physical activity and sedentary behaviour in youth: A systematic review,"Ludwig, K.; Buchan, D.; Arthur, R.; Fountain, H.; Sculthorpe, N.",2018,Journal of Physical Activity & Health,15,10,S210-S210,
Text Messaging Interventions for Improvement in Physical Activity and Sedentary Behavior in Youth: Systematic Review,"Ludwig, Kim; Arthur, Rosie; Sculthorpe, Nicholas; Fountain, Hollie; Buchan, Duncan S.",2018,Journal of Medical Internet Research,20,9,105-105,10.2196/10799
Text Messaging Interventions for Improvement in Physical Activity and Sedentary Behavior in Youth: Systematic Review,"Ludwig, Kim; Arthur, Rosie; Sculthorpe, Nicholas; Fountain, Hollie; Buchan, Duncan S.",2018,JMIR mHealth and uHealth,6,9,e10799,10.2196/10799
Electronic media use and sleep in children and adolescents in western countries: a systematic review.,"Lund, Lisbeth; Sølvhøj, Ida Nielsen; Danielsen, Dina; Andersen, Susan",2021,BMC public health,21,1,1598,10.1186/s12889-021-11640-9
Computer-tailored health interventions delivered over the Web: review and analysis of key components,"Lustria, Mia Liza A; Cortese, Juliann; Noar, Seth M; Glueckauf, Robert L",2009,Patient education and counseling,74,2,156-173,
Review on teaching and learning of computational thinking through programming: What is next for K-12?,"Lye, Sze Yee lye szeyee gmail com; Koh, Joyce Hwee Ling joyce koh nie edu sg",2014,Computers in Human Behavior,41,,51-61,10.1016/j.chb.2014.09.012
A Review of the Relationship Between Social Media Use and Online Prosocial Behavior Among Adolescents.,"Lysenstøen, Christoffer; Bøe, Tormod; Hjetland, Gunnhild Johnsen; Skogen, Jens Christoffer",2021,Frontiers in psychology,12,,579347,10.3389/fpsyg.2021.579347
The relationship between sleep and problematic smartphone use among adolescents: A systematic review,"Mac Cárthaigh, Saoirse; Griffin, Claire; Perry, John",2020,Developmental Review,55,,N.PAG-N.PAG,10.1016/j.dr.2020.100897
Technology applications for students with literacy problems: a critical review,"MacArthur, Charles A.; Ferretti, Ralph P.; Okolo, Cynthia M.",2001,Elementary School Journal,101,3,273-301,10.1086/499669
"Individual‐, family‐, and school‐level interventions targeting multiple risk behaviours in young people","MacArthur, G.; Caldwell, D. M.; Redmore, J.; Watkins, S. H.; Kipping, R.; White, J.; Chittleborough, C.; Langford, R.; Er, V.; Lingam, R.; et al.,",2018,Cochrane Database of Systematic Reviews,,10,,10.1002/14651858.CD009927.pub2
A Review of Technology-Based Youth and Family-Focused Interventions,"MacDonell, Kathleen Watson; Prinz, Ronald J.",2017,Clinical Child And Family Psychology Review,20,2,185-200,10.1007/s10567-016-0218-x
Chances and Limitations of Video Games in the Fight against Childhood Obesity-A Systematic Review,"Mack, Isabelle; Bayer, Carolin; Schäffeler, Norbert; Reiband, Nadine; Brölz, Ellen; Zurstiege, Guido; Fernandez-Aranda, Fernando; Gawrilow, Caterina; Zipfel, Stephan",2017,European Eating Disorders Review: The Journal Of The Eating Disorders Association,25,4,237-267,10.1002/erv.2514
Systematic Review of Digital Interventions for Adolescent and Young Adult Women's Body Image,"Mahon, C.; Seekis, V.",2022,Front Glob Womens Health,3,,832805,10.3389/fgwh.2022.832805
A literature review on the benefits of serious games to the literacy process of children with disabilities and learning difficulties,"Malaquias, Rodrigo Fernandes; Malaquias, Fernanda Francielle de Oliveira",2021,Technology & Disability,33,4,273-282,10.3233/TAD-210339
The effectiveness of assistive technologies for children with special needs: a review of research-based studies,"Maor, Dorit; Currie, Jan; Drewry, Rachel",2011,European Journal of Special Needs Education,26,3,283-298,10.1080/08856257.2011.593821
"A systematic review of the relationship between internet use, self-harm and suicidal behaviour in young people: The good, the bad and the unknown","Marchant, Amanda; Hawton, Keith; Stewart, Ann; Montgomery, Paul; Singaravelu, Vinod; Lloyd, Keith; Purdy, Nicola; Daine, Kate; John, Ann",2017,PLoS ONE,12,8,,
The Developing Brain in the Digital Era: A Scoping Review of Structural and Functional Correlates of Screen Time in Adolescence.,"Marciano, Laura; Camerini, Anne-Linda; Morese, Rosalba",2021,Frontiers in psychology,12,,671817,10.3389/fpsyg.2021.671817
"Physical activity interventions using mass media, print media, and information technology","Marcus, B. H.; Owen, N.; Forsyth, L. H.; Cavill, N. A.; Fridinger, F.",1998,American Journal Of Preventive Medicine,15,4,362-378,
Family-based interventions for reducing sedentary time in youth: A systematic review of randomized controlled trials,"Marsh, S.; Foley, L. S.; Wilks, D. C.; Maddison, R.",2014,Obesity Reviews,15,2,117-133,
"The non-advertising effects of screen-based sedentary activities on acute eating behaviours in children, adolescents, and young adults. A systematic review","Marsh, S.; Ni Mhurchu, C.; Maddison, R.",2013,Appetite,71,,259-273,
Are Exergames Exercise? A Scoping Review of the Short-Term Effects of Exertion Games,"Marshall, Joe; Linehan, Conor",2021,IEEE Transactions on Games,13,2,160-169,http://dx.doi.org/10.1109/TG.2020.2995370
Serious Games Supporting the Prevention and Treatment of Alcohol and Drug Consumption in Youth: Scoping Review,"Martínez-Miranda, J.; Espinosa-Curiel, I. E.",2022,JMIR Serious Games,10,3,e39086,10.2196/39086
Entertainment Video Games for Academic Learning: A Systematic Review,"Martinez, L.; Gimenes, M.; Lambert, E.",2022,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,60,5,1083-1109,10.1177/07356331211053848
Determinants of sugar-sweetened beverage consumption in young children: A systematic review,"Mazarello Paes, V.; Hesketh, K.; O'Malley, C.; Moore, H.; Summerbell, C.; Griffin, S.; van Sluijs, E. M. F.; Ong, K. K.; Lakshman, R.",2015,Obesity Reviews,16,11,903-913,
The influence of unhealthy food and beverage marketing through social media and advergaming on diet-related outcomes in children-A systematic review,"Mc Carthy, C. M.; Vries, R.; Mackenbach, J. D.",2022,OBESITY REVIEWS,23,6,,10.1111/obr.13441
Cell phones and driving: Review of research,"McCartt, A. T.; Hellinga, L. A.; Bratiman, K. A.",2006,Traffic injury prevention,7,2,89-106,
"A Systematic Review and Evaluation of Video Modeling, Role-Play and Computer-Based Instruction as Social Skills Interventions for Children and Adolescents with High-Functioning Autism","McCoy, A.; Holloway, J.; Healy, O.; Rispoli, M.; Neely, L.",2016,Review Journal of Autism and Developmental Disorders,3,1,48-67,
The relationship between highly visual social media and young people’s mental health: A scoping review,"McCrory, Alanna; Best, Paul; Maddock, Alan",2020,Children and Youth Services Review,115,,,10.1016/j.childyouth.2020.105053
"PaCMAn: A 'principled' framework, arising from a systematic review of the literature, to underpin design and deployment of video games for motor skill acquisition","McGann, J.; Issartel, J.; Hederman, L.; Conlan, O.",2019,Entertainment Computing,31,,,10.1016/j.entcom.2019.100310
School programs for at-risk children and youth: A review,"McLaughlin, T. F.; Vacha, Edward F.",1992,Education & Treatment of Children,15,3,255-267,
Can technology be effective in interventions targeting sexual health and substance use in young people; A systematic review,"McLellan, J.; Dale, H.",2013,Health and Technology,3,3,195-203,
